station,train_MAE,train_MSE,test_MAE,test_MSE
Anchieta Centro,0.49405953331685676,0.7236622904840151,0.549079776718274,0.8543409532214035
Carapina,0.564936837154243,0.8406429423452818,0.6167242699305082,0.9158761560208943
Cariacica,0.8400775036204564,1.1782980942722097,0.7188655489131609,1.0356450420065095
Cidade Continental,0.7467041449364088,1.269091678222606,0.8463196873633438,1.5509459201491516
Enseada do Sua,0.5823757934571512,0.9625176184077757,0.5555604009082783,0.9348053617083892
Jardim Camburi,0.4292066315238133,0.6413319435561595,0.43989361148101636,0.6613379249745079
Laranjeiras,1.0209316443449479,1.5833523151764222,0.6903123851779082,1.0094123295480197
Mae-Ba,0.6110111812102315,0.8720512241159354,0.5479400978661317,0.7696385161694201
Meaipe,0.5193568706827273,0.7793761816743521,0.5916881875000296,0.988619460090103
Ubu,0.58752451616116,0.9136245212979656,0.5906820464659777,0.8677770631399032
Vila Velha-Centro,0.5324946464863761,0.7500099774240825,0.5064230399770081,0.7205634861336703
Vila Velha-IBES,0.6240992644962422,0.9394592401765092,0.5836582267931097,0.853656923671471
Vitoria-Centro,0.5388879739435442,0.8957343384959807,0.4640686397764966,0.6907723975433667
