station,train_MAE,train_MSE,test_MAE,test_MSE
Anchieta Centro,0.3371490734912806,1.2267211938206246,0.3696933010832865,1.118136537700951
Carapina,0.3508770732035598,0.841660895475453,0.35400336936320875,0.7231294910412408
Cariacica,0.49959376779772946,1.2331828061331538,0.42179801993774196,1.0574953325910172
Cidade Continental,0.4833270475405568,1.2556468218765986,0.559767354770097,1.6148370057242436
Enseada do Sua,0.34127432210016334,0.9003037627373045,0.2932046566871273,0.6336821169390398
Jardim Camburi,0.25827512727277635,0.6799102256720612,0.27082279112223584,0.6483447496618844
Laranjeiras,0.6363160613390344,1.6616120831208698,0.439593985526989,1.2767043098956543
Mae-Ba,0.43321206723145655,1.2598330915505394,0.4404598088627871,1.5177818037596735
Meaipe,0.3630207839458737,1.1425162245655682,0.40341415185179613,1.2786131286153501
Ubu,0.4126110608494035,1.3536611923117583,0.4205325299105486,1.1967916533390413
Vila Velha-Centro,0.3308398815190396,0.773824928412259,0.3362148337602935,0.8094129541258637
Vila Velha-IBES,0.443352390959657,1.0541900151321573,0.41206069263793993,0.899546456578727
Vitoria-Centro,0.3275057924864022,0.9236051613339055,0.32903762021493443,0.9254662779028034
