station,train_MAE,train_MSE,test_MAE,test_MSE
Anchieta Centro,9.128976507959587,12.006710458321718,9.280960485515598,11.660109571421506
Carapina,6.22034560527893,8.151093096515925,7.00364791740308,9.258926934235632
Cariacica,11.627958343012011,14.635123188811042,9.844271615042882,12.820625207027259
Cidade Continental,8.42931323058234,11.628704405135924,9.822662568766587,13.27800497621468
Enseada do Sua,8.90224279572251,12.027381219487951,9.4092958750455,12.742285286256486
Jardim Camburi,6.5352567355740065,8.945128570151963,4.31249849824672,5.503291048997323
Laranjeiras,16.868087091885624,21.4313083216965,10.932450043125355,13.988726152479282
Mae-Ba,8.195947154581008,10.688314382260963,10.139005076400283,13.118271212615259
Meaipe,8.87291110116589,11.245338727104519,10.261048202614996,13.865913764210323
Ubu,8.743741187751013,11.440301728287281,7.52080468997722,9.551484708318272
Vila Velha-Centro,5.47945444072644,7.009082549934087,5.968747302291816,7.683563804403014
Vila Velha-IBES,7.332729005524219,9.569915483677221,6.815146715377575,8.961992851432507
Vitoria-Centro,8.04690187625877,10.889956360816324,5.181447362574682,6.615364158515536
